key,en,jp
StartButton,Start Game,はじめる
ExitButton,Exit,でる
CreditButton,Credit,クレジット
TryButton,Try Again,リトライ
Language,Language,言語
LabelSound,Volume,音の大きさ
EN,EN,英語
JP,JP,日本語
Weapon,"The murder weapon: An ancient artifact (a ceremonial dagger) from Dr. Hootie's collection, found wiped clean of fingerprints.",凶器：フーティ博士のコレクションの古代遺物，指紋は拭きとられている。
Window,A shattered window suggesting a possible break-in.,窓が割れている。誰か入って来たらしい。
Diary,The Diary: The missing pages from the diary reveal Dr. Hootie was about to expose a significant fraud involving her husband and Maxie Badger.,日記：なくなったページの半分に、フーティ博士が彼女の夫とアナグマのマキシの詐欺について書かれている。
PhoneRecord,"Phone Records: Reveal multiple calls between Dr. Hootie and an unknown number, traced back to a burner phone found in Maxie's possession.",通話記録：フーティ博士の複数の通話はアナグマのマキシの使い捨ての携帯電話のようだ。
Footprint,Muddy footprints near the shattered window match Maxie Badger's footprint.,窓の近くのあしあとは、アナグマのマキシと一致している。
Letter,"A threatening letter addressed to Dr. Hootie found in the room's fireplace, partially burned.",フーティ博士宛の脅迫状が、暖炉に入れられ燃やされようとしたようだ
BankRecord,Bank Records: Indicate Hawkin Owl withdrew a large sum of money shortly before Dr. Hootie's death.,銀行の取引記録：フーティ博士の死の直前に、ふくろうのホーキンが多額の現金を引き出していたらしい。
Camera,"Security Camera Footage: Shows Bunny Alice entering the house late at night, after her claimed visit time.",監視カメラの映像:：うさぎのアリスは主張した訪問時間より遅く、深夜に家に入る様子が映っている。
Clues,Clues,手がかり
Investigate,Investigate,調べる
Enter,Enter,入り口
PlayAgain,Play Again,もう一度遊ぶ
LockPoliceStation,There are clues left. Go back and investigate more!,まだ手がかりがあるよ。戻って調べてみよう！
Talk,Talk,話す
Interrogate,Interrogate,質問する
Rabbit1,Whisker : Can you tell me where you were last night between 8 PM and midnight?,ウィスカー :昨夜の午後8時から深夜の12時までどこにいましたか？
Rabbit2,"Alice Rabbit : I was at home most of the night. I did visit Hootie earlier in the evening, around 7 PM. I left around 8 PM.",うさぎのアリス : ほとんどの夜は家にいました。夕方7時ごろにフーティさんちに行ったけど、8時ごろに帰りました。
Rabbit3,Whisker : Security footage shows you returning to Dr. Hootie’s house later that night. Can you explain that?,ウィスカー : あなたがフーティ博士の家に夜遅くに家に入る様子が監視カメラにうつってるけど、説明できますか？
Rabbit4,"Alice Rabbit : Oh, um, yes. I forgot my scarf there. I went back to get it but didn’t see Hootie. I thought she was already asleep, so I left quickly.",うさぎのアリス : あ！　マフラーを忘れちゃって、取りに戻ったけど、フーティさんを見かけなかったの。もう寝てるかなって思って、すぐ帰っちゃったの。
Rabbit5,Whisker : How was your relationship with Dr. Hootie?,ウィスカー : ドクター・ホーティーとはどのような　あいだがら？
Rabbit6,"Alice Rabbit : We were very close, like sisters. I can’t imagine who would want to harm her.",うさぎのアリス :きょうだいみたいにとても仲が良かったの。彼女を刺したひとがいるなんて・・・
Rabbit7,Whisker : Did Dr. Hootie mention anything unusual or worrying to you recently?,ウィスカー : 最近、ホーティ博士に何か変わったこととか、心配なことを口走っていませんでしたか？
Rabbit8,"Alice Rabbit : She was stressed about a new discovery and mentioned something about her husband and a fraud. I told her to be careful, but I didn’t think it was this serious.",うさぎのアリス : 旦那さんの詐欺をみつけたことかな。ストレスになってたみたい。彼女に気をつけてねと言ったのに、こんなにことになってしまうなんて・・・
Owl1,Whisker : Can you tell me where you were last night between 8 PM and midnight?,ウィスカー :昨夜の午後8時から深夜の12時までどこにまでどこにいましたか？
Owl2,Hawkin Owl : I was at a business meeting in town. I left around 7:30 PM and got back home just after midnight.,ふくろうのホーキン : 町で会議にでてました。会議は7時30分ごろ終わったのですが、家に戻ったのは真夜中を少し過ぎてました。
Owl3,Whisker : Is there anyone who can confirm your alibi?,ウィスカー : 誰か証明できる人はいる？
Owl4,"Hawkin Owl : It was a private meeting, so unfortunately, no one can confirm. But I did stop by the convenience store on the way back. Maybe the clerk remembers me.",ふくろうのホーキン :プライベートな会議だったので、誰もいませんが、帰りにコンビニに立ち寄りました。店員さんが覚えているかもしれません。
Owl5,Whisker : How was your relationship with Dr. Hootie?,ウィスカー : 奥さんとは最近どうだったんですか？
Owl6,"Hawkin Owl: We had our ups and downs, like any couple. But I loved her deeply.",ふくろうのホーキン  : そりゃ、いろいろありますよ。どこでもそうじゃないんですか？。でも、彼女を深く愛してたんです。
Owl7,Whisker : Did she mention anything unusual recently? Any threats or strange occurrences?,ウィスカー : 最近、奥さんが何か変わったこととか、脅されてるとか言ってませんでしたか？　また変なこと、例えば「詐欺」とか？
Owl8,"Hawkin Owl: She did seem more stressed than usual. She mentioned a big discovery and some fraud. I didn’t pay much attention, though. I wish I had.",ふくろうのホーキン : ストレスがなんかあったみたい。なんか見つけたとか、詐欺とかも言ってたなぁ。あまり気にしなかったけど、注意してりゃよかったな。
Squirrel1,Whisker : Can you tell me about your relationship with Dr. Hootie?,ウィスカー : ホーティ博士との関係について教えてもらえますか？
Squirrel2,"Nutty Squirrel : We were very close, like family. She trusted me with many of her secrets.",リスのナッツ : 私たちは家族みたいにとても仲が良かったの。彼女は私を信じてくれて、隠し事なんてなかったわ。
Squirrel3,Whisker : Did Dr. Hootie mention anything unusual or concerning to you lately?,ウィスカー : 最近、ホーティ博士が何か変なことや心配事を言ってましたか？
Squirrel4,"Nutty Squirrel : She was excited about a new discovery and was planning to go public with it. She also seemed worried, but she didn’t tell me why.",リスのナッツ : なんか新しくみつけたとかで、公表するつもりだったみたい。でも何か不安そうでした。でも、具体的に何が不安なのかは教えてくれませんでした。
Squirrel5,Whisker : I found your fingerprints on Dr. Hootie’s diary. Can you explain that?,ウィスカー : ホーティ博士の日記からあなたの指紋が見つかったんですが、どうしてですか？
Squirrel6,"Nutty Squirrel : I often handled her diary. She would dictate notes to me, and I’d help her organize them.",リスのナッツ : 日記はいつも触ってました。彼女は日記のメモを読み上げて、私が整理してたので。
Squirrel7,Whisker : Do you know anything about the missing pages from Dr. Hootie's diary?,ウィスカー : ホーティ博士の日記からページがなくなってたんだけど、何か知りませんか？
Squirrel8,Nutty Squirrel : She kept those last entries very private. I only know she was worried about something.,リスのナッツ : 書いてたことの最後はわからないわ。プライバシーだもの。何か不安そうだったことはわかるけど、それ以上は・・・
Squirrel21,Nutty Squirrel : How did you know that?! OK It's my fault. I'm trying to protect the secret. I don't want to lose my job.,リスのナッツ : なんでそれを知ってるのよ！私がわるかったの。内緒にしたかったのよ。クビになりたくなかったのよ・・・
Badger1,Whisker : Where were you last night between 8 PM and midnight?,ウィスカー :昨夜の午後8時から深夜の12時までどこにいましたか？
Badger2,"Maxie Badger : I was at home, alone. No one to vouch for me, if that’s what you’re asking.",アナグマのマキシ : 一人で家にいました。証言してくれる人はいません。それが聞きたいんだよね？
Badger3,Whisker : You had a public altercation with Dr. Hootie recently. Can you tell me about that?,ウィスカー : 最近、街でホーティ博士と口論したみたいですが、くわしく話してもらえませんかね？
Badger4,"Maxie Badger : She exposed my artifact smuggling ring. I was angry, but I didn’t kill her!",アナグマのマキシ : 密売がばれちまってさ、法律違反だとか。オレは怒ったけど、彼女をやってねえよ！
Badger5,Whisker : We found muddy footprints near Dr. Hootie’s place that match shoes we found in your possession. Can you explain that?,ウィスカー : ホーティ博士の家の近くで見つかった泥だらけの足跡が、あなたの靴と一致しています。これについてはどうですか？
Badger6,Maxie Badger : That’s impossible! I haven’t been near her place in weeks. Someone’s setting me up!,アナグマのマキシ : ありえねえよ！　ここ何週間も、寄りついてもいないんだよ。　だれかはめようとしてるんだよ！
Badger7,Whisker : Do you know anything about a burner phone that was used to contact Dr. Hootie?,ウィスカー : ホーティ博士に連絡を取るための使い捨ての電話がみつかってるんだけど？
Badger8,"Maxie Badger : No, I don’t. I’m telling you, Detective, I didn’t do this.",アナグマのマキシ : しらねえよ、そんなこと。探偵さん、本当にやってねえよ！
Police1,Police : Hey! Go back and interrogate them all!,警察 : 捜査が不十分です。もう一度みんなを取り調べましょう！
Police21,Police : Are you ready to tell me who the murderer is?,警察 : 犯人を教えてくれる準備はできてる？
Police22,Police : Who is the murderer?,警察 : 犯人はだれ？
Police31,Police : No! You are wrong! ,警察 : ちがうよ！まちがってる！
Police41,Police : Yes! You are Right! Congraturations!,警察 : そうだよ！あってるよ！おめでとう！
Choice1,Alice Rabbit,うさぎのアリス
Choice2,Hawkin Owl,ふくろうのホーキン
Choice3,Nutty Squirrel,リスのナッツ
Choice4,Maxie Badger,アナグマのマキシ
RabbitRelation,A neighbor rabbit and close family friend who often visited Dr.Hootie’s home.,ホーティ博士によく遊びに来ていた、隣のウサギで、家族ぐるみのなかよしです
BadgerRelation,An ex-convict badger who recently had a public altercation with Dr. Hootie,ホーティ博士と最近、街で揉め事を起こしたばかりの、元犯罪者 のアナグマですね 
SquirrelRelation,"The victim’s assistant, a squirrel who has been with her for years and knows her secrets.",長いこと被害者の助手をしているリスですね。隠し事はないそうです 
OwlRelation,"The victim’s husband, a wealthy businessman with a financial disputes.",被害者の旦那さんは商人でお金持ちだけど、お金のことで揉め事があったみたい
Congraturations,Congraturations,おめでとう
Failed,Failed,失敗
Go,Go,行く
Intro1,Whisker : Hello?,ウィスカー : もしもし？
Intro2,"Police : Hi! Detective. Do you remember Dr.Hootie, an archiologist?",警察 : こんにちは、刑事さん。フーティ博士を覚えていますか？考古学者の。
Intro3,"Whisker : Yes, Why?",ウィスカー : はい、どうしたんですか？
Intro4,Police : She just found dead In her room. Please come to my office as fast as possible.,警察 : 彼女が部屋で亡くなっているのが見つかりました。できるだけ早く警察まで来てください。
Intro5,Whisker : Roger that!,ウィスカー : わかりました
Yes,Yes,はい
No,No,いいえ
Intro6,Here is a list of individuals who are under suspicion.,こちらは、容疑がかかっている人物のリストです。
Exit,Exit,でぐち
